0	19990	10	0	0	0	
1	19986.3	12.0326	0.946478	0.696596	0.00173106	
2	19981.9	14.4777	2.01924	1.58955	0.00397781	
3	19976.6	17.4188	3.24851	2.71326	0.00683353	
4	19970.3	20.956	4.67031	4.10948	0.0104112	
5	19962.6	25.2097	6.32761	5.82878	0.0148472	
6	19953.5	30.324	8.27177	7.93229	0.0203065	
7	19942.4	36.4718	10.5642	10.4938	0.0269877	
8	19929.2	43.8601	13.2785	13.6022	0.0351299	
9	19913.4	52.7367	16.5025	17.3646	0.0450209	
10	19894.3	63.3974	20.3415	21.9097	0.0570066	
11	19871.4	76.1955	24.9214	27.3919	0.0715023	
12	19844	91.5515	30.3928	33.997	0.0890063	
13	19811	109.965	36.9355	41.947	0.110116	
14	19771.6	132.029	44.7642	51.5082	0.135545	
15	19724.3	158.442	54.1344	62.9985	0.166149	
16	19667.6	190.028	65.3502	76.7974	0.202947	
17	19599.9	227.752	78.7724	93.3569	0.247155	
18	19518.9	272.736	94.8278	113.214	0.300216	
19	19422.3	326.276	114.02	137.005	0.363843	
20	19307.3	389.857	136.939	165.481	0.440061	
21	19170.5	465.16	164.275	199.527	0.531253	
22	19008.3	554.058	196.83	240.178	0.640212	
23	18816.5	658.6	235.525	288.637	0.770195	
24	18590.4	780.973	281.413	346.298	0.924973	
25	18325	923.428	335.678	414.757	1.10888	
26	18015	1088.17	399.637	495.823	1.32684	
27	17655	1277.19	474.722	591.521	1.58439	
28	17239.5	1492.05	562.455	704.084	1.88765	
29	16763.9	1733.56	664.396	835.923	2.2433	
30	16224.2	2001.47	782.078	989.575	2.6584	
31	15618.3	2294.03	916.898	1167.63	3.14025	
32	14946.1	2607.6	1069.99	1372.6	3.69608	
33	14210.5	2936.34	1242.08	1606.79	4.3327	
34	13417.6	3271.99	1433.26	1872.12	5.056	
35	12577.3	3604.02	1642.86	2169.9	5.87051	
36	11703.3	3920.03	1869.24	2500.64	6.77878	
37	10812	4206.58	2109.73	2863.87	7.78093	
38	9922.15	4450.44	2360.55	3257.99	8.87433	
39	9052.83	4639.94	2616.93	3680.25	10.0533	
40	8222.21	4766.32	2873.34	4126.82	11.3096	
41	7445.87	4824.8	3123.81	4592.89	12.632	
42	6735.64	4815.01	3362.32	5073.03	14.008	
43	6099.09	4740.83	3583.25	5561.4	15.4235	
44	5539.54	4609.69	3781.73	6052.18	16.8645	
45	5056.58	4431.38	3953.94	6539.78	18.3171	
46	4646.96	4216.88	4097.25	7019.15	19.7686	
47	4305.46	3977.21	4210.24	7485.88	21.2079	
48	4025.82	3722.58	4292.66	7936.31	22.6251	
49	3801.4	3461.83	4345.23	8367.54	24.0126	
50	3625.66	3202.18	4369.44	8777.35	25.3641	
51	3492.52	2949.21	4367.39	9164.2	26.6748	
52	3396.47	2706.96	4341.54	9527.09	27.9413	
53	3332.65	2478.14	4294.57	9865.49	29.1615	
54	3296.83	2264.36	4229.22	10179.3	30.3339	
55	3285.38	2066.41	4148.2	10468.6	31.4579	
56	3295.17	1884.42	4054.1	10733.8	32.5337	
57	3323.53	1718.03	3949.35	10975.5	33.5617	
